status,url,target
200,/サービス/internal-ir-walkthrough/,
200,/サービス/interpretation/,
200,/サービス/investor-meeting-interpretation/,
200,/サービス/investor-meeting-prep-qa/,
200,/サービス/investor-one-on-one-interpretation/,
200,/サービス/ir-conference-interpretation/,
200,/サービス/ir-day-interpretation/,
200,/サービス/ir-diagnosis-card/,
200,/サービス/ir-interpretation/,
200,/サービス/ir-support/,
200,/サービス/ir-website-translation/,
200,/サービス/kessan-tanshin-translation/,
200,/サービス/meeting-support/,
200,/サービス/overseas-ir-diagnostics/,
200,/サービス/overseas-ir-roadshow-interpretation/,
200,/サービス/quarterly-disclosure-improvement/,
200,/サービス/shareholder-meeting-interpretation/,
200,/サービス/shareholder-meeting-notice-translation/,
200,/サービス/timely-disclosure-translation/,
200,/サービス/招集通知翻訳/,
200,/サービス/決算短信翻訳/,
200,/サービス/決算説明会資料翻訳/,
200,/サービス/英文開示支援/,
200,/会社概要/,
200,/料金/,
200,/料金/#light,
200,/料金/#pro,
200,/料金/#standalone,
200,/料金/#standard,

SUMMARY
200 227
301 0
404 0
